match_id,year,date,stage,group_name,home_team,away_team,home_team_norm,away_team_norm,home_goals,away_goals,home_xg,away_xg,attendance,stadium,city,host_country,referee,win_conditions,host_team,extra_time,penalty_shootout,score_penalties,home_penalties,away_penalties,result,notes,dup_key,tournament_id_x,tournament_name_x,d7_match_id_x,match_name_x,group_name_d7new,group_stage_x,knockout_stage_x,replayed_x,replay_x,match_time_x,stadium_id_x,stadium_name_d7_x,city_name_d7_x,host_country_d7_x,home_team_id_d7_x,home_team_code_x,away_team_id_d7_x,away_team_code_x,score_x,home_score_margin_x,away_score_margin_x,extra_time_d7new,penalty_shootout_d7new,score_penalties_d7new,home_penalties_d7new,away_penalties_d7new,result_d7new,home_team_win_x,away_team_win_x,draw_x,tournament_id_y,tournament_name_y,d7_match_id_y,match_name_y,group_stage_y,knockout_stage_y,replayed_y,replay_y,match_time_y,stadium_id_y,stadium_name_d7_y,city_name_d7_y,host_country_d7_y,home_team_id_d7_y,home_team_code_y,away_team_id_d7_y,away_team_code_y,score_y,home_score_margin_y,away_score_margin_y,home_team_win_y,away_team_win_y,draw_y,tournament_id,tournament_name,d7_match_id,match_name,group_stage,knockout_stage,replayed,replay,match_time,stadium_id,home_team_code,away_team_code,score,home_score_margin,away_score_margin,home_team_win,away_team_win,draw
1.0,1930,1930-07-13 00:00:00+00:00,Group stage,Group 1,France,Mexico,france,mexico,4.0,1.0,,,4444.0,Estadio Pocitos,Montevideo,Uruguay,Domingo Lombardi,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-13 00:00:00+00:00|france|mexico,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,Group 1,1.0,0.0,0.0,0.0,15:00,S-193,Estadio Pocitos,Montevideo,Uruguay,T-28,FRA,T-44,MEX,41,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1.0,0.0,0.0,0.0,15:00,S-193,Estadio Pocitos,Montevideo,Uruguay,T-28,FRA,T-44,MEX,41,3.0,-3.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1.0,0.0,0.0,0.0,15:00,S-193,FRA,MEX,41,3.0,-3.0,1.0,0.0,0.0
2.0,1930,1930-07-13 00:00:00+00:00,Group stage,Group 4,United States,Belgium,united states,belgium,3.0,0.0,,,18346.0,Estadio Gran Parque Central,Montevideo,Uruguay,Jose Macias,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-13 00:00:00+00:00|united states|belgium,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,Group 4,1.0,0.0,0.0,0.0,15:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,USA,T-06,BEL,30,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1.0,0.0,0.0,0.0,15:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,USA,T-06,BEL,30,3.0,-3.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1.0,0.0,0.0,0.0,15:00,S-192,USA,BEL,30,3.0,-3.0,1.0,0.0,0.0
4.0,1930,1930-07-14 00:00:00+00:00,Group stage,Group 3,Romania,Peru,romania,peru,3.0,1.0,,,2549.0,Estadio Pocitos,Montevideo,Uruguay,Alberto Warnken,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-14 00:00:00+00:00|romania|peru,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,Group 3,1.0,0.0,0.0,0.0,14:50,S-193,Estadio Pocitos,Montevideo,Uruguay,T-59,ROU,T-54,PER,31,2.0,-2.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,1.0,0.0,0.0,0.0,14:50,S-193,Estadio Pocitos,Montevideo,Uruguay,T-59,ROU,T-54,PER,31,2.0,-2.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,1.0,0.0,0.0,0.0,14:50,S-193,ROU,PER,31,2.0,-2.0,1.0,0.0,0.0
3.0,1930,1930-07-14 00:00:00+00:00,Group stage,Group 2,Yugoslavia,Brazil,serbia,brazil,2.0,1.0,,,24059.0,Estadio Gran Parque Central,Montevideo,Uruguay,Anibal Tejada,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-14 00:00:00+00:00|serbia|brazil,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,Group 2,1.0,0.0,0.0,0.0,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,YUG,T-09,BRA,21,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1.0,0.0,0.0,0.0,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,YUG,T-09,BRA,21,1.0,-1.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1.0,0.0,0.0,0.0,12:45,S-192,YUG,BRA,21,1.0,-1.0,1.0,0.0,0.0
5.0,1930,1930-07-15 00:00:00+00:00,Group stage,Group 1,Argentina,France,argentina,france,1.0,0.0,,,23409.0,Estadio Gran Parque Central,Montevideo,Uruguay,Gilberto Rego,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-15 00:00:00+00:00|argentina|france,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,Group 1,1.0,0.0,0.0,0.0,16:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,ARG,T-28,FRA,10,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,1.0,0.0,0.0,0.0,16:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,ARG,T-28,FRA,10,1.0,-1.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,1.0,0.0,0.0,0.0,16:00,S-192,ARG,FRA,10,1.0,-1.0,1.0,0.0,0.0
6.0,1930,1930-07-16 00:00:00+00:00,Group stage,Group 1,Chile,Mexico,chile,mexico,3.0,0.0,,,9249.0,Estadio Gran Parque Central,Montevideo,Uruguay,Henry Cristophe,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-16 00:00:00+00:00|chile|mexico,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,Group 1,1.0,0.0,0.0,0.0,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,CHL,T-44,MEX,30,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1.0,0.0,0.0,0.0,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,CHL,T-44,MEX,30,3.0,-3.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1.0,0.0,0.0,0.0,14:45,S-192,CHL,MEX,30,3.0,-3.0,1.0,0.0,0.0
8.0,1930,1930-07-17 00:00:00+00:00,Group stage,Group 4,United States,Paraguay,united states,paraguay,3.0,0.0,,,18306.0,Estadio Gran Parque Central,Montevideo,Uruguay,Jose Macias,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-17 00:00:00+00:00|united states|paraguay,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,Group 4,1.0,0.0,0.0,0.0,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,USA,T-53,PRY,30,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,1.0,0.0,0.0,0.0,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,USA,T-53,PRY,30,3.0,-3.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,1.0,0.0,0.0,0.0,14:45,S-192,USA,PRY,30,3.0,-3.0,1.0,0.0,0.0
7.0,1930,1930-07-17 00:00:00+00:00,Group stage,Group 2,Yugoslavia,Bolivia,serbia,bolivia,4.0,0.0,,,18306.0,Estadio Gran Parque Central,Montevideo,Uruguay,Francisco Mateucci,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-17 00:00:00+00:00|serbia|bolivia,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,Group 2,1.0,0.0,0.0,0.0,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,YUG,T-07,BOL,40,4.0,-4.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,1.0,0.0,0.0,0.0,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,YUG,T-07,BOL,40,4.0,-4.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,1.0,0.0,0.0,0.0,12:45,S-192,YUG,BOL,40,4.0,-4.0,1.0,0.0,0.0
9.0,1930,1930-07-18 00:00:00+00:00,Group stage,Group 3,Uruguay,Peru,uruguay,peru,1.0,0.0,,,57735.0,Estadio Centenario,Montevideo,Uruguay,Jean Langenus,,1.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-18 00:00:00+00:00|uruguay|peru,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,Group 3,1.0,0.0,0.0,0.0,14:30,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,URY,T-54,PER,10,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,1.0,0.0,0.0,0.0,14:30,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,URY,T-54,PER,10,1.0,-1.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,1.0,0.0,0.0,0.0,14:30,S-191,URY,PER,10,1.0,-1.0,1.0,0.0,0.0
11.0,1930,1930-07-19 00:00:00+00:00,Group stage,Group 1,Argentina,Mexico,argentina,mexico,6.0,3.0,,,42100.0,Estadio Centenario,Montevideo,Uruguay,Ulises Saucedo,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,1930|1930-07-19 00:00:00+00:00|argentina|mexico,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,Group 1,1.0,0.0,0.0,0.0,15:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,ARG,T-44,MEX,63,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,1.0,0.0,0.0,0.0,15:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,ARG,T-44,MEX,63,3.0,-3.0,1.0,0.0,0.0,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,1.0,0.0,0.0,0.0,15:00,S-191,ARG,MEX,63,3.0,-3.0,1.0,0.0,0.0
