goal_id,tournament_id,tournament_name,year,match_id,match_name,match_date,match_time,team_id,home_team,away_team,player_id,player_name,given_name,family_name,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
G-0027,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-09,Uruguay vs Peru,-14412.0,14:30,T-84,1,0,P-54697,Héctor Castro,Héctor,Castro,65',65,0,second half,0,0
G-0028,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-10,Chile vs France,-14411.0,12:50,T-13,1,0,P-08459,Guillermo Subiabre,Guillermo,Subiabre,67',67,0,second half,0,0
G-0029,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,8',8,0,first half,0,0
G-0030,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-76546,Adolfo Zumelzú,Adolfo,Zumelzú,12',12,0,first half,0,0
G-0031,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,17',17,0,first half,0,0
G-0032,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-46,0,1,P-89481,Manuel Rosas,Manuel,Rosas,42',42,0,first half,0,1
G-0033,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-37326,Francisco Varallo,Francisco,Varallo,53',53,0,second half,0,0
G-0034,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-76546,Adolfo Zumelzú,Adolfo,Zumelzú,55',55,0,second half,0,0
G-0035,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-46,0,1,P-89481,Manuel Rosas,Manuel,Rosas,65',65,0,second half,0,0
G-0036,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-46,0,1,P-31066,Roberto Gayón,Roberto,Gayón,75',75,0,second half,0,0
G-0037,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,80',80,0,second half,0,0
G-0038,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-12,Brazil vs Bolivia,-14410.0,13:00,T-09,1,0,P-83987,not applicable Moderato,not applicable,Moderato,37',37,0,first half,0,0
G-0039,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-12,Brazil vs Bolivia,-14410.0,13:00,T-09,1,0,P-91171,not applicable Preguinho,not applicable,Preguinho,57',57,0,second half,0,0
G-0040,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-12,Brazil vs Bolivia,-14410.0,13:00,T-09,1,0,P-83987,not applicable Moderato,not applicable,Moderato,73',73,0,second half,0,0
G-0041,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-12,Brazil vs Bolivia,-14410.0,13:00,T-09,1,0,P-91171,not applicable Preguinho,not applicable,Preguinho,83',83,0,second half,0,0
G-0042,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-13,Paraguay vs Belgium,-14410.0,15:00,T-55,1,0,P-06201,Luis Vargas Peña,Luis,Vargas Peña,40',40,0,first half,0,0
G-0043,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-14,Uruguay vs Romania,-14409.0,14:50,T-84,1,0,P-38674,Pablo Dorado,Pablo,Dorado,7',7,0,first half,0,0
G-0044,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-14,Uruguay vs Romania,-14409.0,14:50,T-84,1,0,P-44201,Héctor Scarone,Héctor,Scarone,26',26,0,first half,0,0
G-0045,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-14,Uruguay vs Romania,-14409.0,14:50,T-84,1,0,P-57352,Peregrino Anselmo,Peregrino,Anselmo,31',31,0,first half,0,0
G-0046,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-14,Uruguay vs Romania,-14409.0,14:50,T-84,1,0,P-18628,Pedro Cea,Pedro,Cea,35',35,0,first half,0,0
G-0047,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-15,Argentina vs Chile,-14408.0,14:45,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,12',12,0,first half,0,0
G-0048,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-15,Argentina vs Chile,-14408.0,14:45,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,13',13,0,first half,0,0
G-0049,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-15,Argentina vs Chile,-14408.0,14:45,T-13,0,1,P-08459,Guillermo Subiabre,Guillermo,Subiabre,15',15,0,first half,0,0
G-0050,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-15,Argentina vs Chile,-14408.0,14:45,T-03,1,0,P-23897,Mario Evaristo,Mario,Evaristo,51',51,0,second half,0,0
G-0051,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-16,Argentina vs United States,-14404.0,14:45,T-03,1,0,P-25760,Luis Monti,Luis,Monti,20',20,0,first half,0,0
G-0052,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-16,Argentina vs United States,-14404.0,14:45,T-03,1,0,P-44916,Alejandro Scopelli,Alejandro,Scopelli,56',56,0,second half,0,0
G-0053,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-16,Argentina vs United States,-14404.0,14:45,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,69',69,0,second half,0,0
G-0054,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-16,Argentina vs United States,-14404.0,14:45,T-03,1,0,P-70166,Carlos Peucelle,Carlos,Peucelle,80',80,0,second half,0,0
G-0055,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-16,Argentina vs United States,-14404.0,14:45,T-03,1,0,P-70166,Carlos Peucelle,Carlos,Peucelle,85',85,0,second half,0,0
G-0056,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-16,Argentina vs United States,-14404.0,14:45,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,87',87,0,second half,0,0
G-0057,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-16,Argentina vs United States,-14404.0,14:45,T-83,0,1,P-06424,Jim Brown,Jim,Brown,89',89,0,second half,0,0
G-0058,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-17,Uruguay vs Yugoslavia,-14403.0,14:45,T-87,0,1,P-33565,Đorđe Vujadinović,Đorđe,Vujadinović,4',4,0,first half,0,0
G-0059,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-17,Uruguay vs Yugoslavia,-14403.0,14:45,T-84,1,0,P-18628,Pedro Cea,Pedro,Cea,18',18,0,first half,0,0
G-0060,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-17,Uruguay vs Yugoslavia,-14403.0,14:45,T-84,1,0,P-57352,Peregrino Anselmo,Peregrino,Anselmo,20',20,0,first half,0,0
G-0061,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-17,Uruguay vs Yugoslavia,-14403.0,14:45,T-84,1,0,P-57352,Peregrino Anselmo,Peregrino,Anselmo,31',31,0,first half,0,0
G-0062,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-17,Uruguay vs Yugoslavia,-14403.0,14:45,T-84,1,0,P-31959,Santos Iriarte,Santos,Iriarte,61',61,0,second half,0,0
G-0063,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-17,Uruguay vs Yugoslavia,-14403.0,14:45,T-84,1,0,P-18628,Pedro Cea,Pedro,Cea,67',67,0,second half,0,0
G-0064,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-17,Uruguay vs Yugoslavia,-14403.0,14:45,T-84,1,0,P-18628,Pedro Cea,Pedro,Cea,72',72,0,second half,0,0
G-0065,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-18,Uruguay vs Argentina,-14400.0,14:15,T-84,1,0,P-38674,Pablo Dorado,Pablo,Dorado,12',12,0,first half,0,0
G-0066,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-18,Uruguay vs Argentina,-14400.0,14:15,T-03,0,1,P-70166,Carlos Peucelle,Carlos,Peucelle,20',20,0,first half,0,0
G-0067,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-18,Uruguay vs Argentina,-14400.0,14:15,T-03,0,1,P-56486,Guillermo Stábile,Guillermo,Stábile,37',37,0,first half,0,0
G-0068,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-18,Uruguay vs Argentina,-14400.0,14:15,T-84,1,0,P-18628,Pedro Cea,Pedro,Cea,57',57,0,second half,0,0
G-0069,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-18,Uruguay vs Argentina,-14400.0,14:15,T-84,1,0,P-31959,Santos Iriarte,Santos,Iriarte,68',68,0,second half,0,0
G-0070,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-18,Uruguay vs Argentina,-14400.0,14:15,T-84,1,0,P-54697,Héctor Castro,Héctor,Castro,89',89,0,second half,0,0
G-0071,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-01,Austria vs France,-13003.0,16:00,T-30,0,1,P-70804,Jean Nicolas,Jean,Nicolas,18',18,0,first half,0,0
G-0072,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-01,Austria vs France,-13003.0,16:00,T-05,1,0,P-11865,Matthias Sindelar,Matthias,Sindelar,44',44,0,first half,0,0
G-0073,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-01,Austria vs France,-13003.0,16:00,T-05,1,0,P-87474,Anton Schall,Anton,Schall,93',93,0,"extra time, first half",0,0
G-0074,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-01,Austria vs France,-13003.0,16:00,T-05,1,0,P-51668,Josef Bican,Josef,Bican,109',109,0,"extra time, second half",0,0
G-0075,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-01,Austria vs France,-13003.0,16:00,T-30,0,1,P-13166,Georges Verriest,Georges,Verriest,116',116,0,"extra time, second half",0,1
G-0076,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-02,Czechoslovakia vs Romania,-13003.0,16:00,T-61,0,1,P-55855,Ștefan Dobay,Ștefan,Dobay,11',11,0,first half,0,0
G-0077,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-02,Czechoslovakia vs Romania,-13003.0,16:00,T-21,1,0,P-51219,Antonín Puč,Antonín,Puč,50',50,0,second half,0,0
G-0078,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-02,Czechoslovakia vs Romania,-13003.0,16:00,T-21,1,0,P-60513,Oldřich Nejedlý,Oldřich,Nejedlý,67',67,0,second half,0,0
G-0079,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-03,Germany vs Belgium,-13003.0,16:00,T-31,1,0,P-04241,Stanislaus Kobierski,Stanislaus,Kobierski,25',25,0,first half,0,0
G-0080,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-03,Germany vs Belgium,-13003.0,16:00,T-06,0,1,P-85443,Bernard Voorhoof,Bernard,Voorhoof,29',29,0,first half,0,0
G-0081,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-03,Germany vs Belgium,-13003.0,16:00,T-06,0,1,P-85443,Bernard Voorhoof,Bernard,Voorhoof,43',43,0,first half,0,0
G-0082,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-03,Germany vs Belgium,-13003.0,16:00,T-31,1,0,P-53238,Otto Siffling,Otto,Siffling,49',49,0,second half,0,0
G-0083,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-03,Germany vs Belgium,-13003.0,16:00,T-31,1,0,P-77348,Edmund Conen,Edmund,Conen,66',66,0,second half,0,0
G-0084,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-03,Germany vs Belgium,-13003.0,16:00,T-31,1,0,P-77348,Edmund Conen,Edmund,Conen,70',70,0,second half,0,0
G-0085,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-03,Germany vs Belgium,-13003.0,16:00,T-31,1,0,P-77348,Edmund Conen,Edmund,Conen,87',87,0,second half,0,0
G-0086,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-04,Hungary vs Egypt,-13003.0,16:00,T-36,1,0,P-42669,Pál Teleki,Pál,Teleki,11',11,0,first half,0,0
G-0087,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-04,Hungary vs Egypt,-13003.0,16:00,T-36,1,0,P-60977,Géza Toldi,Géza,Toldi,31',31,0,first half,0,0
G-0088,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-04,Hungary vs Egypt,-13003.0,16:00,T-26,0,1,P-28239,Abdulrahman Fawzi,Abdulrahman,Fawzi,35',35,0,first half,0,0
G-0089,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-04,Hungary vs Egypt,-13003.0,16:00,T-26,0,1,P-28239,Abdulrahman Fawzi,Abdulrahman,Fawzi,39',39,0,first half,0,0
G-0090,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-04,Hungary vs Egypt,-13003.0,16:00,T-36,1,0,P-11520,Jenő Vincze,Jenő,Vincze,53',53,0,second half,0,0
G-0091,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-04,Hungary vs Egypt,-13003.0,16:00,T-36,1,0,P-60977,Géza Toldi,Géza,Toldi,61',61,0,second half,0,0
G-0092,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-05,Italy vs United States,-13003.0,16:00,T-41,1,0,P-56703,Angelo Schiavio,Angelo,Schiavio,18',18,0,first half,0,0
G-0093,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-05,Italy vs United States,-13003.0,16:00,T-41,1,0,P-03638,Raimundo Orsi,Raimundo,Orsi,20',20,0,first half,0,0
G-0094,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-05,Italy vs United States,-13003.0,16:00,T-41,1,0,P-56703,Angelo Schiavio,Angelo,Schiavio,29',29,0,first half,0,0
G-0095,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-05,Italy vs United States,-13003.0,16:00,T-83,0,1,P-75829,Aldo Donelli,Aldo,Donelli,57',57,0,second half,0,0
G-0096,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-05,Italy vs United States,-13003.0,16:00,T-41,1,0,P-39512,Giovanni Ferrari,Giovanni,Ferrari,63',63,0,second half,0,0
G-0097,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-05,Italy vs United States,-13003.0,16:00,T-41,1,0,P-56703,Angelo Schiavio,Angelo,Schiavio,64',64,0,second half,0,0
G-0098,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-05,Italy vs United States,-13003.0,16:00,T-41,1,0,P-03638,Raimundo Orsi,Raimundo,Orsi,69',69,0,second half,0,0
G-0099,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-05,Italy vs United States,-13003.0,16:00,T-41,1,0,P-34536,Giuseppe Meazza,Giuseppe,Meazza,90',90,0,second half,0,0
G-0100,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-06,Spain vs Brazil,-13003.0,16:00,T-73,1,0,P-64059,José Iraragorri,José,Iraragorri,18',18,0,first half,0,1
G-0101,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-06,Spain vs Brazil,-13003.0,16:00,T-73,1,0,P-64059,José Iraragorri,José,Iraragorri,25',25,0,first half,0,0
G-0102,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-06,Spain vs Brazil,-13003.0,16:00,T-73,1,0,P-69133,Isidro Lángara,Isidro,Lángara,29',29,0,first half,0,0
G-0103,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-06,Spain vs Brazil,-13003.0,16:00,T-09,0,1,P-09730,not applicable Leônidas,not applicable,Leônidas,55',55,0,second half,0,0
G-0104,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-07,Sweden vs Argentina,-13003.0,16:00,T-03,0,1,P-11019,Ernesto Belis,Ernesto,Belis,4',4,0,first half,0,0
G-0105,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-07,Sweden vs Argentina,-13003.0,16:00,T-74,1,0,P-79374,Sven Jonasson,Sven,Jonasson,9',9,0,first half,0,0
G-0106,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-07,Sweden vs Argentina,-13003.0,16:00,T-03,0,1,P-61839,Alberto Galateo,Alberto,Galateo,48',48,0,second half,0,0
G-0107,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-07,Sweden vs Argentina,-13003.0,16:00,T-74,1,0,P-79374,Sven Jonasson,Sven,Jonasson,67',67,0,second half,0,0
G-0108,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-07,Sweden vs Argentina,-13003.0,16:00,T-74,1,0,P-02091,Knut Kroon,Knut,Kroon,79',79,0,second half,0,0
G-0109,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-08,Switzerland vs Netherlands,-13003.0,16:00,T-75,1,0,P-88416,Leopold Kielholz,Leopold,Kielholz,7',7,0,first half,0,0
G-0110,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-08,Switzerland vs Netherlands,-13003.0,16:00,T-48,0,1,P-85884,Kick Smit,Kick,Smit,29',29,0,first half,0,0
G-0111,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-08,Switzerland vs Netherlands,-13003.0,16:00,T-75,1,0,P-88416,Leopold Kielholz,Leopold,Kielholz,43',43,0,first half,0,0
G-0112,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-08,Switzerland vs Netherlands,-13003.0,16:00,T-75,1,0,P-85334,André Abegglen,André,Abegglen,66',66,0,second half,0,0
G-0113,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-08,Switzerland vs Netherlands,-13003.0,16:00,T-48,0,1,P-55392,Leen Vente,Leen,Vente,69',69,0,second half,0,0
G-0114,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-09,Austria vs Hungary,-12999.0,16:30,T-05,1,0,P-51711,Johann Horvath,Johann,Horvath,8',8,0,first half,0,0
G-0115,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-09,Austria vs Hungary,-12999.0,16:30,T-05,1,0,P-05719,Karl Zischek,Karl,Zischek,51',51,0,second half,0,0
G-0116,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-09,Austria vs Hungary,-12999.0,16:30,T-36,0,1,P-89034,György Sárosi,György,Sárosi,60',60,0,second half,0,1
G-0117,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-10,Czechoslovakia vs Switzerland,-12999.0,16:30,T-75,0,1,P-88416,Leopold Kielholz,Leopold,Kielholz,18',18,0,first half,0,0
G-0118,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-10,Czechoslovakia vs Switzerland,-12999.0,16:30,T-21,1,0,P-13470,František Svoboda,František,Svoboda,24',24,0,first half,0,0
G-0119,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-10,Czechoslovakia vs Switzerland,-12999.0,16:30,T-21,1,0,P-58983,Jiří Sobotka,Jiří,Sobotka,49',49,0,second half,0,0
G-0120,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-10,Czechoslovakia vs Switzerland,-12999.0,16:30,T-75,0,1,P-58205,Willy Jäggi,Willy,Jäggi,78',78,0,second half,0,0
G-0121,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-10,Czechoslovakia vs Switzerland,-12999.0,16:30,T-21,1,0,P-60513,Oldřich Nejedlý,Oldřich,Nejedlý,82',82,0,second half,0,0
G-0122,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-11,Germany vs Sweden,-12999.0,16:30,T-31,1,0,P-56231,Karl Hohmann,Karl,Hohmann,60',60,0,second half,0,0
G-0123,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-11,Germany vs Sweden,-12999.0,16:30,T-31,1,0,P-56231,Karl Hohmann,Karl,Hohmann,63',63,0,second half,0,0
G-0124,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-11,Germany vs Sweden,-12999.0,16:30,T-74,0,1,P-83366,Gösta Dunker,Gösta,Dunker,82',82,0,second half,0,0
G-0125,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-12,Italy vs Spain,-12999.0,16:30,T-73,0,1,P-40752,Luis Regueiro,Luis,Regueiro,30',30,0,first half,0,0
G-0126,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-12,Italy vs Spain,-12999.0,16:30,T-41,1,0,P-39512,Giovanni Ferrari,Giovanni,Ferrari,44',44,0,first half,0,0
G-0127,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-13,Italy vs Spain,-12998.0,16:30,T-41,1,0,P-34536,Giuseppe Meazza,Giuseppe,Meazza,11',11,0,first half,0,0
G-0128,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-14,Czechoslovakia vs Germany,-12996.0,16:30,T-21,1,0,P-60513,Oldřich Nejedlý,Oldřich,Nejedlý,21',21,0,first half,0,0
G-0129,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-14,Czechoslovakia vs Germany,-12996.0,16:30,T-31,0,1,P-30818,Rudolf Noack,Rudolf,Noack,62',62,0,second half,0,0
G-0130,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-14,Czechoslovakia vs Germany,-12996.0,16:30,T-21,1,0,P-60513,Oldřich Nejedlý,Oldřich,Nejedlý,69',69,0,second half,0,0
G-0131,WC-1934,1934 FIFA Men's World Cup,1934,M-1934-14,Czechoslovakia vs Germany,-12996.0,16:30,T-21,1,0,P-60513,Oldřich Nejedlý,Oldřich,Nejedlý,80',80,0,second half,0,0
