year,date,tournament_id,tournament_name,match_name,stage,home_team,away_team,home_team_code,away_team_code,home_goals,away_goals,score,result,home_team_win,away_team_win,draw,extra_time,penalty_shootout,score_penalties,stadium,stadium_id,stadium_name,city,host_country,host_team,attendance,match_time,referee,notes
1934,1934-05-27,WC-1934,1934 FIFA World Cup,Hungary v Egypt,Round of 16,Hungary,Egypt,HUN,EGY,4,2,4-2,home team win,1,0,no,no,no,0-0,Stadio Giorgio Ascarelli,S-075,Stadio Giorgio Ascarelli,Naples,Italy,0.0,9000,16:00,Rinaldo Barlassina,
1934,1934-05-27,WC-1934,1934 FIFA World Cup,Italy v United States,Round of 16,Italy,United States,ITA,USA,7,1,7-1,home team win,1,0,no,no,no,0-0,Stadio Nazionale PNF,S-078,Stadio Nazionale PNF,Rome,Italy,1.0,25000,16:00,Rene Mercet,
1934,1934-05-27,WC-1934,1934 FIFA World Cup,Spain v Brazil,Round of 16,Spain,Brazil,ESP,BRA,3,1,3-1,home team win,1,0,no,no,no,0-0,Stadio Luigi Ferraris,S-073,Stadio Luigi Ferraris,Genoa,Italy,0.0,21000,16:00,Alfred Birlem,
1934,1934-05-27,WC-1934,1934 FIFA World Cup,Sweden v Argentina,Round of 16,Sweden,Argentina,SWE,ARG,3,2,3-2,home team win,1,0,no,no,no,0-0,Stadio Renato Dall'Ara,S-069,Stadio Renato Dall'Ara,Bologna,Italy,0.0,14000,16:00,Eugen Braun,
1934,1934-05-27,WC-1934,1934 FIFA World Cup,Switzerland v Netherlands,Round of 16,Switzerland,Netherlands,CHE,NLD,3,2,3-2,home team win,1,0,no,no,no,0-0,San Siro,S-074,San Siro,Milan,Italy,0.0,33000,16:00,Ivan Eklind,
1934,1934-05-31,WC-1934,1934 FIFA World Cup,Austria v Hungary,Quarter-finals,Austria,Hungary,AUT,HUN,2,1,2-1,home team win,1,0,no,no,no,0-0,Stadio Renato Dall'Ara,S-069,Stadio Renato Dall'Ara,Bologna,Italy,0.0,23000,16:30,Francesco Mattea,
1934,1934-05-31,WC-1934,1934 FIFA World Cup,Czechoslovakia v Switzerland,Quarter-finals,Czechoslovakia,Switzerland,CSK,CHE,3,2,3-2,home team win,1,0,no,no,no,0-0,Stadio Benito Mussolini,S-081,Stadio Benito Mussolini,Turin,Italy,0.0,12000,16:30,Alois Beranek,
1934,1934-05-31,WC-1934,1934 FIFA World Cup,Germany v Sweden,Quarter-finals,Germany,Sweden,DEU,SWE,2,1,2-1,home team win,1,0,no,no,no,0-0,San Siro,S-074,San Siro,Milan,Italy,0.0,3000,16:30,Rinaldo Barlassina,
1934,1934-05-31,WC-1934,1934 FIFA World Cup,Italy v Spain,Quarter-finals,Italy,Spain,ITA,ESP,1,1,1-1,draw,0,0,yes,yes,no,0-0,Stadio Giovanni Berta,S-072,Stadio Giovanni Berta,Florence,Italy,1.0,35000,16:30,Louis Baert,Required Extra Time
1934,1934-06-01,WC-1934,1934 FIFA World Cup,Italy v Spain,Quarter-finals,Italy,Spain,ITA,ESP,1,0,1-0,home team win,1,0,no,no,no,0-0,Stadio Giovanni Berta,S-072,Stadio Giovanni Berta,Florence,Italy,1.0,43000,16:30,Rene Mercet,
1934,1934-06-03,WC-1934,1934 FIFA World Cup,Czechoslovakia v Germany,Semi-finals,Czechoslovakia,Germany,CSK,DEU,3,1,3-1,home team win,1,0,no,no,no,0-0,Stadio Nazionale PNF,S-078,Stadio Nazionale PNF,Rome,Italy,0.0,15000,16:30,Rinaldo Barlassina,
1934,1934-06-03,WC-1934,1934 FIFA World Cup,Italy v Austria,Semi-finals,Italy,Austria,ITA,AUT,1,0,1-0,home team win,1,0,no,no,no,0-0,San Siro,S-074,San Siro,Milan,Italy,1.0,35000,16:30,Ivan Eklind,
1934,1934-06-07,WC-1934,1934 FIFA World Cup,Germany v Austria,Third place,Germany,Austria,DEU,AUT,3,2,3-2,home team win,1,0,no,no,no,0-0,Stadio Giorgio Ascarelli,S-075,Stadio Giorgio Ascarelli,Naples,Italy,0.0,7000,18:00,Albino Carraro,
1934,1934-06-10,WC-1934,1934 FIFA World Cup,Italy v Czechoslovakia,Final,Italy,Czechoslovakia,ITA,CSK,2,1,2-1,home team win,1,0,no,yes,no,0-0,Stadio Nazionale PNF,S-078,Stadio Nazionale PNF,Rome,Italy,1.0,55000,17:00,Ivan Eklind,Required Extra Time
1938,1938-06-04,WC-1938,1938 FIFA World Cup,Switzerland v Germany,Round of 16,Switzerland,Germany,CHE,DEU,1,1,1-1,draw,0,0,yes,yes,no,0-0,Parc des Princes,S-045,Parc des Princes,Paris,France,0.0,27152,17:00,Jean Langenus,Required Extra Time
1938,1938-06-05,WC-1938,1938 FIFA World Cup,Brazil v Poland,Round of 16,Brazil,Poland,BRA,POL,6,5,6-5,home team win,1,0,no,yes,no,0-0,Stade de la Meinau,S-050,Stade de la Meinau,Strasbourg,France,0.0,13452,17:30,Ivan Eklind,Required Extra Time
1938,1938-06-05,WC-1938,1938 FIFA World Cup,Cuba v Romania,Round of 16,Cuba,Romania,CUB,ROU,3,3,3-3,draw,0,0,yes,yes,no,0-0,Stade du T.O.E.C.,S-052,Stade du T.O.E.C.,Toulouse,France,0.0,7000,17:00,Giuseppe Scarpi,Required Extra Time
1938,1938-06-05,WC-1938,1938 FIFA World Cup,Czechoslovakia v Netherlands,Round of 16,Czechoslovakia,Netherlands,CSK,NLD,3,0,3-0,home team win,1,0,no,yes,no,0-0,Stade Jules Deschaseaux,S-038,Stade Jules Deschaseaux,Le Havre,France,0.0,11000,18:30,Lucien Leclercq,Required Extra Time
1938,1938-06-05,WC-1938,1938 FIFA World Cup,France v Belgium,Round of 16,France,Belgium,FRA,BEL,3,1,3-1,home team win,1,0,no,no,no,0-0,Stade Olympique de Colombes,S-046,Stade Olympique de Colombes,Paris,France,1.0,30454,17:00,Hans Wuethrich,
1938,1938-06-05,WC-1938,1938 FIFA World Cup,Italy v Norway,Round of 16,Italy,Norway,ITA,NOR,2,1,2-1,home team win,1,0,no,yes,no,0-0,Stade Vélodrome,S-042,Stade Vélodrome,Marseille,France,0.0,19000,17:00,Alois Beranek,Required Extra Time
1938,1938-06-09,WC-1938,1938 FIFA World Cup,Cuba v Romania,Round of 16,Cuba,Romania,CUB,ROU,2,1,2-1,home team win,1,0,no,no,no,0-0,Stade du T.O.E.C.,S-052,Stade du T.O.E.C.,Toulouse,France,0.0,8000,18:00,Alfred Birlem,
1938,1938-06-09,WC-1938,1938 FIFA World Cup,Switzerland v Germany,Round of 16,Switzerland,Germany,CHE,DEU,4,2,4-2,home team win,1,0,no,no,no,0-0,Parc des Princes,S-045,Parc des Princes,Paris,France,0.0,20025,18:00,Ivan Eklind,
1938,1938-06-12,WC-1938,1938 FIFA World Cup,Brazil v Czechoslovakia,Quarter-finals,Brazil,Czechoslovakia,BRA,CSK,1,1,1-1,draw,0,0,yes,yes,no,0-0,Stade du Parc Lescure,S-037,Stade du Parc Lescure,Bordeaux,France,0.0,22021,17:00,Pal Von Hertzka,Required Extra Time
1938,1938-06-12,WC-1938,1938 FIFA World Cup,Hungary v Switzerland,Quarter-finals,Hungary,Switzerland,HUN,CHE,2,0,2-0,home team win,1,0,no,no,no,0-0,Stade Victor Boucquey,S-040,Stade Victor Boucquey,Lille,France,0.0,15000,17:00,Rinaldo Barlassina,
1938,1938-06-12,WC-1938,1938 FIFA World Cup,Sweden v Cuba,Quarter-finals,Sweden,Cuba,SWE,CUB,8,0,8-0,home team win,1,0,no,no,no,0-0,Stade du Fort Carré,S-036,Stade du Fort Carré,Antibes,France,0.0,7000,17:00,Gustav Krist,
